Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR
E0,18/01/2022,Brighton,Chelsea,1,1,D,0,1,A,4.75,3.79,1.78,0-1,1-1,10,2,15,3,1,2,0,0
E0,19/01/2022,Leicester,Tottenham,2,3,A,1,1,D,3.12,3.41,2.38,1-1,2-3,14,4,27,10,1,2,0,0
E0,19/01/2022,Brentford,Man United,1,3,A,0,0,D,4.68,3.46,1.88,0-0,1-3,18,8,13,5,0,0,0,0
E0,21/01/2022,Watford,Norwich,0,3,A,0,0,D,2.09,3.53,3.66,0-0,0-3,15,4,7,2,0,1,1,0
E0,22/01/2022,Everton,Aston Villa,0,1,A,0,1,A,2.82,3.25,2.7,0-1,0-1,15,1,8,3,5,3,0,0
E0,22/01/2022,Brentford,Wolves,1,2,A,0,0,D,3.15,3.11,2.54,0-0,1-2,11,1,7,2,2,3,0,0
E0,22/01/2022,Leeds,Newcastle,0,1,A,0,0,D,2.03,3.72,3.67,0-0,0-1,13,4,15,3,4,2,0,0
E0,22/01/2022,Man United,West Ham,1,0,H,0,0,D,1.93,3.85,3.9,0-0,1-0,18,3,6,1,1,1,0,0
E0,22/01/2022,Southampton,Man City,1,1,D,1,0,H,10.23,6.18,1.27,1-0,1-1,7,3,20,5,3,0,0,0
E0,23/01/2022,Arsenal,Burnley,0,0,D,0,0,D,1.36,5.22,9.18,0-0,0-0,20,5,10,1,0,2,0,0
E0,23/01/2022,Crystal Palace,Liverpool,1,3,A,0,2,A,5.75,4.14,1.61,0-2,1-3,8,5,15,7,4,1,0,0
E0,23/01/2022,Leicester,Brighton,1,1,D,0,0,D,2.66,3.36,2.78,0-0,1-1,15,5,14,5,0,1,0,0
E0,23/01/2022,Chelsea,Tottenham,2,0,H,0,0,D,1.7,4.17,4.82,0-0,2-0,15,7,6,3,2,1,0,0
E0,05/02/2022,Burnley,Watford,0,0,D,0,0,D,2.19,3.27,3.69,0-0,0-0,13,2,11,5,1,2,0,0
E0,08/02/2022,Newcastle,Everton,3,1,H,1,1,D,2.57,3.42,2.94,1-1,3-1,20,9,11,3,2,3,0,0
E0,08/02/2022,West Ham,Watford,1,0,H,0,0,D,1.54,4.42,6.7,0-0,1-0,9,3,6,1,1,0,0,0
E0,08/02/2022,Burnley,Man United,1,1,D,0,1,A,6.09,4.13,1.62,0-1,1-1,9,3,22,5,2,1,0,0
E0,09/02/2022,Man City,Brentford,2,0,H,1,0,H,1.12,10.16,25.77,1-0,2-0,15,7,6,2,0,0,0,0
E0,09/02/2022,Norwich,Crystal Palace,1,1,D,1,0,H,3.66,3.38,2.21,1-0,1-1,5,1,13,5,1,2,0,0
E0,09/02/2022,Tottenham,Southampton,2,3,A,1,1,D,1.61,4.19,6.03,1-1,2-3,8,3,23,10,2,3,0,0
E0,09/02/2022,Aston Villa,Leeds,3,3,D,3,2,H,1.83,4,4.4,3-2,3-3,12,4,16,8,1,3,1,0
E0,10/02/2022,Liverpool,Leicester,2,0,H,1,0,H,1.26,6.84,11.21,1-0,2-0,22,11,5,1,1,0,0,0
E0,10/02/2022,Wolves,Arsenal,0,1,A,0,1,A,3.72,3.28,2.23,0-1,0-1,15,4,12,2,2,3,0,1
E0,12/02/2022,Man United,Southampton,1,1,D,1,0,H,1.63,4.32,5.53,1-0,1-1,12,8,13,4,4,0,0,0
E0,12/02/2022,Brentford,Crystal Palace,0,0,D,0,0,D,2.77,3.08,2.98,0-0,0-0,9,2,6,3,1,0,0,0
E0,12/02/2022,Everton,Leeds,3,0,H,2,0,H,2.37,3.58,3.12,2-0,3-0,21,10,7,0,1,1,0,0
E0,12/02/2022,Watford,Brighton,0,2,A,0,1,A,3.85,3.38,2.14,0-1,0-2,9,1,11,6,3,2,0,0
E0,12/02/2022,Norwich,Man City,0,4,A,0,1,A,18.96,7.94,1.18,0-1,0-4,8,3,22,9,0,2,0,0
E0,13/02/2022,Burnley,Liverpool,0,1,A,0,1,A,10.82,6.03,1.29,0-1,0-1,8,5,12,4,0,1,0,0
E0,13/02/2022,Newcastle,Aston Villa,1,0,H,1,0,H,2.78,3.48,2.67,1-0,1-0,10,2,11,1,3,4,0,0
E0,13/02/2022,Tottenham,Wolves,0,2,A,0,2,A,1.69,3.82,5.86,0-2,0-2,17,7,11,7,3,1,0,0
E0,13/02/2022,Leicester,West Ham,2,2,D,1,1,D,3.05,3.62,2.39,1-1,2-2,13,2,8,3,1,2,0,0
E0,15/02/2022,Man United,Brighton,2,0,H,0,0,D,1.81,3.78,4.87,0-0,2-0,19,7,10,3,3,1,0,1
E0,19/02/2022,West Ham,Newcastle,1,1,D,1,1,D,1.72,3.88,5.4,1-1,1-1,11,3,14,3,3,3,0,0
E0,19/02/2022,Arsenal,Brentford,2,1,H,0,0,D,1.47,4.46,8.32,0-0,2-1,24,8,6,2,1,1,0,0
E0,19/02/2022,Aston Villa,Watford,0,1,A,0,0,D,1.68,3.95,5.62,0-0,0-1,20,1,8,4,1,2,0,0
E0,19/02/2022,Brighton,Burnley,0,3,A,0,2,A,1.67,3.78,6.18,0-2,0-3,11,1,10,4,1,4,0,0
E0,19/02/2022,Crystal Palace,Chelsea,0,1,A,0,0,D,5.86,3.99,1.66,0-0,0-1,7,0,9,3,1,3,0,0
E0,19/02/2022,Liverpool,Norwich,3,1,H,0,0,D,1.13,9.98,26.49,0-0,3-1,29,8,6,1,0,1,0,0
E0,19/02/2022,Southampton,Everton,2,0,H,0,0,D,2.1,3.61,3.71,0-0,2-0,19,11,9,0,0,2,0,0
E0,19/02/2022,Man City,Tottenham,2,3,A,1,1,D,1.29,6.05,11.91,1-1,2-3,21,4,6,5,0,3,0,0
E0,20/02/2022,Leeds,Man United,2,4,A,0,2,A,4.12,3.84,1.93,0-2,2-4,16,6,15,9,6,3,0,0
E0,20/02/2022,Wolves,Leicester,2,1,H,1,1,D,2.34,3.24,3.5,1-1,2-1,11,3,17,7,4,4,0,0
E0,23/02/2022,Burnley,Tottenham,1,0,H,0,0,D,4.94,3.78,1.79,0-0,1-0,15,4,12,2,0,0,0,0
E0,23/02/2022,Watford,Crystal Palace,1,4,A,1,2,A,3.24,3.24,2.47,1-2,1-4,8,1,7,5,2,1,0,0
E0,23/02/2022,Liverpool,Leeds,6,0,H,3,0,H,1.16,8.87,17.91,3-0,6-0,23,15,3,2,0,3,0,0
E0,24/02/2022,Arsenal,Wolves,2,1,H,0,1,A,1.65,3.9,6.08,0-1,2-1,26,5,6,2,1,1,0,0
E0,25/02/2022,Southampton,Norwich,2,0,H,1,0,H,1.56,4.35,6.55,1-0,2-0,27,9,8,1,1,2,0,0
E0,26/02/2022,Leeds,Tottenham,0,4,A,0,3,A,4.14,4.03,1.87,0-3,0-4,19,3,15,11,4,2,0,0
E0,26/02/2022,Brentford,Newcastle,0,2,A,0,2,A,2.55,3.2,3.15,0-2,0-2,6,1,26,11,3,1,1,0
E0,26/02/2022,Crystal Palace,Burnley,1,1,D,1,0,H,2,3.44,4.29,1-0,1-1,11,4,5,1,0,2,0,0
E0,26/02/2022,Man United,Watford,0,0,D,0,0,D,1.36,5.67,8.94,0-0,0-0,22,3,10,2,0,0,0,0
E0,26/02/2022,Brighton,Aston Villa,0,2,A,0,1,A,2.24,3.42,3.52,0-1,0-2,12,1,9,4,4,5,0,0
E0,26/02/2022,Everton,Man City,0,1,A,0,0,D,10.59,6.17,1.29,0-0,0-1,6,2,13,8,3,2,0,0
E0,27/02/2022,West Ham,Wolves,1,0,H,0,0,D,2.15,3.23,4.03,0-0,1-0,13,4,14,1,1,0,0,0
E0,01/03/2022,Burnley,Leicester,0,2,A,0,0,D,2.98,3.39,2.55,0-0,0-2,9,2,22,6,1,1,0,0
E0,05/03/2022,Leicester,Leeds,1,0,H,0,0,D,1.82,4.23,4.21,0-0,1-0,7,4,19,4,1,2,0,0
E0,05/03/2022,Aston Villa,Southampton,4,0,H,2,0,H,2.42,3.49,3.1,2-0,4-0,14,9,11,1,1,1,0,0
E0,05/03/2022,Burnley,Chelsea,0,4,A,0,0,D,7.69,4.19,1.52,0-0,0-4,6,1,11,5,2,0,0,0
E0,05/03/2022,Newcastle,Brighton,2,1,H,2,0,H,2.82,3.23,2.8,2-0,2-1,10,4,15,4,1,1,0,0
E0,05/03/2022,Norwich,Brentford,1,3,A,0,1,A,3.04,3.19,2.64,0-1,1-3,15,7,10,6,2,5,0,0
E0,05/03/2022,Wolves,Crystal Palace,0,2,A,0,2,A,2.43,3.08,3.5,0-2,0-2,12,5,12,8,0,3,0,0
E0,05/03/2022,Liverpool,West Ham,1,0,H,1,0,H,1.3,5.99,10.58,1-0,1-0,22,5,13,5,2,1,0,0
E0,06/03/2022,Watford,Arsenal,2,3,A,1,2,A,6.29,4.03,1.62,1-2,2-3,13,7,16,4,1,2,0,0
E0,06/03/2022,Man City,Man United,4,1,H,2,1,H,1.43,4.9,8.34,2-1,4-1,24,10,5,2,0,1,0,0
E0,07/03/2022,Tottenham,Everton,5,0,H,3,0,H,1.61,4.27,5.97,3-0,5-0,14,7,6,0,2,0,0,0
E0,10/03/2022,Norwich,Chelsea,1,3,A,0,2,A,14.15,5.78,1.28,0-2,1-3,9,3,15,7,0,2,0,0
E0,10/03/2022,Southampton,Newcastle,1,2,A,1,1,D,1.99,3.78,3.89,1-1,1-2,14,5,8,4,1,1,0,0
E0,10/03/2022,Wolves,Watford,4,0,H,2,0,H,1.84,3.56,5.02,2-0,4-0,10,5,9,0,2,2,0,0
E0,10/03/2022,Leeds,Aston Villa,0,3,A,0,1,A,2.75,3.64,2.61,0-1,0-3,4,1,15,9,5,3,0,0
E0,12/03/2022,Brighton,Liverpool,0,2,A,0,1,A,6.65,4.44,1.54,0-1,0-2,8,3,18,9,3,1,0,0
E0,12/03/2022,Brentford,Burnley,2,0,H,0,0,D,2.25,3.2,3.78,0-0,2-0,13,4,7,1,1,1,0,1
E0,12/03/2022,Man United,Tottenham,3,2,H,2,1,H,2.22,3.66,3.35,2-1,3-2,10,6,10,3,2,1,0,0
E0,13/03/2022,Chelsea,Newcastle,1,0,H,0,0,D,1.34,5.17,10.18,0-0,1-0,8,3,7,2,4,3,0,0
E0,13/03/2022,Everton,Wolves,0,1,A,0,0,D,2.37,3.2,3.48,0-0,0-1,8,2,14,3,2,1,1,0
E0,13/03/2022,Leeds,Norwich,2,1,H,1,0,H,1.65,4.12,5.7,1-0,2-1,13,7,12,4,3,1,0,0
E0,13/03/2022,Southampton,Watford,1,2,A,1,2,A,1.61,4.33,5.82,1-2,1-2,13,7,9,5,3,2,0,0
E0,13/03/2022,West Ham,Aston Villa,2,1,H,0,0,D,2.41,3.3,3.28,0-0,2-1,11,4,13,7,1,0,0,0
E0,13/03/2022,Arsenal,Leicester,2,0,H,1,0,H,1.54,4.62,6.22,1-0,2-0,21,8,6,3,0,3,0,0
E0,14/03/2022,Crystal Palace,Man City,0,0,D,0,0,D,9.58,5.7,1.34,0-0,0-0,7,1,18,4,3,1,0,0
E0,16/03/2022,Brighton,Tottenham,0,2,A,0,1,A,3.38,3.37,2.33,0-1,0-2,15,0,17,7,2,2,0,0
E0,16/03/2022,Arsenal,Liverpool,0,2,A,0,0,D,3.78,4.12,1.93,0-0,0-2,9,2,9,3,0,1,0,0
E1,06/08/2021,Bournemouth,West Brom,2,2,D,1,1,D,2.37,3.36,3.24,1-1,2-2,7,4,15,5,1,3,0,0
E1,07/08/2021,Blackburn,Swansea,2,1,H,1,0,H,2.18,3.38,3.65,1-0,2-1,21,10,7,4,4,2,0,0
E1,07/08/2021,Bristol City,Blackpool,1,1,D,1,0,H,2.27,3.39,3.35,1-0,1-1,11,2,7,1,2,0,0,0
E1,07/08/2021,Cardiff,Barnsley,1,1,D,0,0,D,2.3,3.26,3.48,0-0,1-1,10,6,10,3,0,0,0,0
E1,07/08/2021,Derby,Huddersfield,1,1,D,1,1,D,4.71,3.81,1.76,1-1,1-1,11,3,17,6,3,2,0,0
E1,07/08/2021,Luton,Peterboro,3,0,H,1,0,H,2.26,3.6,3.25,1-0,3-0,12,6,4,1,1,5,0,0
E1,07/08/2021,Preston,Hull,1,4,A,1,1,D,2.41,3.32,3.21,1-1,1-4,7,4,16,5,2,2,0,0
E1,07/08/2021,QPR,Millwall,1,1,D,1,1,D,2.12,3.43,3.76,1-1,1-1,11,4,10,3,0,3,0,0
E1,07/08/2021,Stoke,Reading,3,2,H,2,1,H,2.1,3.36,3.94,2-1,3-2,18,6,11,5,0,2,0,0
E1,07/08/2021,Sheffield United,Birmingham,0,1,A,0,1,A,1.83,3.5,4.91,0-1,0-1,16,2,9,2,1,6,0,0
E1,08/08/2021,Fulham,Middlesbrough,1,1,D,1,0,H,1.92,3.59,4.27,1-0,1-1,16,3,7,1,2,3,0,0
E1,08/08/2021,Coventry,Nottm Forest,2,1,H,0,1,A,2.54,3.13,3.12,0-1,2-1,12,6,10,2,4,1,0,0
E1,14/08/2021,Peterboro,Derby,2,1,H,0,0,D,2.23,3.35,3.48,0-0,2-1,13,4,7,2,4,2,0,0
E1,14/08/2021,Barnsley,Coventry,1,0,H,1,0,H,2.08,3.29,4.03,1-0,1-0,8,1,12,2,8,2,0,0
E1,14/08/2021,Birmingham,Stoke,0,0,D,0,0,D,2.85,3.08,2.8,0-0,0-0,9,2,8,2,1,2,0,0
E1,14/08/2021,Blackpool,Cardiff,0,2,A,0,0,D,3.15,3.23,2.47,0-0,0-2,8,2,17,8,1,1,0,0
E1,14/08/2021,Huddersfield,Fulham,1,5,A,1,3,A,4.6,3.46,1.89,1-3,1-5,9,2,15,11,1,1,0,1
E1,14/08/2021,Hull,QPR,0,3,A,0,1,A,2.79,3.26,2.72,0-1,0-3,12,4,14,8,0,0,1,0
E1,14/08/2021,Middlesbrough,Bristol City,2,1,H,1,0,H,1.81,3.48,5.12,1-0,2-1,13,7,10,2,1,1,0,0
E1,14/08/2021,Millwall,Blackburn,1,1,D,0,0,D,2.5,3.2,3.12,0-0,1-1,15,2,2,1,1,2,0,0
E1,14/08/2021,Nottm Forest,Bournemouth,1,2,A,0,1,A,3.53,3.33,2.22,0-1,1-2,15,5,8,3,2,1,0,1
E1,14/08/2021,Reading,Preston,2,1,H,1,0,H,2.2,3.38,3.53,1-0,2-1,12,2,13,5,3,0,0,0
E1,14/08/2021,West Brom,Luton,3,2,H,2,0,H,1.66,3.89,5.66,2-0,3-2,18,6,11,5,2,2,0,0
E1,14/08/2021,Swansea,Sheffield United,0,0,D,0,0,D,3.11,3.2,2.51,0-0,0-0,8,1,8,2,1,2,0,0
E1,17/08/2021,Barnsley,Luton,0,1,A,0,1,A,2.35,3.27,3.37,0-1,0-1,10,3,7,4,1,4,0,0
E1,17/08/2021,Blackpool,Coventry,0,1,A,0,1,A,3.04,3.24,2.57,0-1,0-1,12,4,19,5,2,4,0,0
E1,17/08/2021,Huddersfield,Preston,1,0,H,0,0,D,2.5,3.21,3.17,0-0,1-0,7,0,8,2,3,2,0,0
E1,17/08/2021,Millwall,Fulham,1,2,A,0,2,A,3.97,3.1,2.2,0-2,1-2,7,2,16,6,4,2,0,0
E1,17/08/2021,Peterboro,Cardiff,2,2,D,0,0,D,3.25,3.19,2.47,0-0,2-2,8,3,9,3,1,2,0,0
E1,17/08/2021,Swansea,Stoke,1,3,A,0,1,A,3.22,3.16,2.5,0-1,1-3,9,3,12,5,0,2,0,0
E1,17/08/2021,Reading,Bristol City,2,3,A,1,2,A,2.32,3.2,3.53,1-2,2-3,11,3,8,5,0,1,0,0
E1,18/08/2021,Birmingham,Bournemouth,0,2,A,0,0,D,3.23,3.19,2.44,0-0,0-2,9,3,9,4,1,0,0,0
E1,18/08/2021,Hull,Derby,0,1,A,0,0,D,1.87,3.63,4.46,0-0,0-1,9,2,13,5,1,3,0,0
E1,18/08/2021,Middlesbrough,QPR,2,3,A,1,0,H,2.53,3.17,3.1,1-0,2-3,14,6,8,6,2,1,0,1
E1,18/08/2021,Nottm Forest,Blackburn,1,2,A,0,0,D,2.5,3.24,3.09,0-0,1-2,7,4,9,7,1,3,1,0
E1,18/08/2021,West Brom,Sheffield United,4,0,H,1,0,H,2.1,3.48,3.71,1-0,4-0,12,4,5,1,0,1,0,0
E1,20/08/2021,Bristol City,Swansea,0,1,A,0,1,A,2.27,3.24,3.59,0-1,0-1,15,5,8,4,4,6,0,0
E1,21/08/2021,QPR,Barnsley,2,2,D,0,2,A,2.1,3.55,3.69,0-2,2-2,13,6,12,4,2,3,0,0
E1,21/08/2021,Blackburn,West Brom,1,2,A,0,2,A,3.96,3.48,2.02,0-2,1-2,7,2,23,11,1,2,0,0
E1,21/08/2021,Bournemouth,Blackpool,2,2,D,2,0,H,1.68,3.8,5.64,2-0,2-2,13,5,11,5,0,4,0,0
E1,21/08/2021,Cardiff,Millwall,3,1,H,0,0,D,2.3,3.07,3.67,0-0,3-1,16,5,12,5,2,1,0,0
E1,21/08/2021,Coventry,Reading,2,1,H,0,1,A,2.1,3.39,3.82,0-1,2-1,25,7,7,2,5,3,0,0
E1,21/08/2021,Derby,Middlesbrough,0,0,D,0,0,D,3.11,3.22,2.5,0-0,0-0,9,4,11,3,2,4,0,0
E1,21/08/2021,Fulham,Hull,2,0,H,2,0,H,1.42,4.79,8.03,2-0,2-0,15,6,8,3,3,2,0,0
E1,21/08/2021,Luton,Birmingham,0,5,A,0,2,A,2.08,3.47,3.77,0-2,0-5,11,3,20,9,1,1,0,0
E1,21/08/2021,Preston,Peterboro,1,0,H,1,0,H,2.28,3.21,3.53,1-0,1-0,16,7,9,2,2,0,0,0
E1,21/08/2021,Sheffield United,Huddersfield,1,2,A,0,0,D,1.66,3.88,5.64,0-0,1-2,16,6,6,3,0,3,0,0
E1,21/08/2021,Stoke,Nottm Forest,1,0,H,0,0,D,1.89,3.42,4.68,0-0,1-0,11,5,2,0,2,2,0,0
E1,28/08/2021,Cardiff,Bristol City,1,2,A,0,1,A,2,3.36,4.23,0-1,1-2,12,5,9,5,2,2,0,0
E1,28/08/2021,Derby,Nottm Forest,1,1,D,1,0,H,2.6,2.96,3.22,1-0,1-1,13,4,13,4,4,1,0,0
E1,28/08/2021,Barnsley,Birmingham,1,1,D,1,1,D,2.34,3.23,3.39,1-1,1-1,7,2,14,4,2,4,0,0
E1,28/08/2021,Fulham,Stoke,3,0,H,1,0,H,1.88,3.34,4.86,1-0,3-0,20,9,11,3,0,1,0,0
E1,28/08/2021,Huddersfield,Reading,4,0,H,1,0,H,2.37,3.27,3.27,1-0,4-0,16,8,7,1,3,2,0,0
E1,28/08/2021,Hull,Bournemouth,0,0,D,0,0,D,3.49,3.32,2.24,0-0,0-0,3,0,12,5,0,2,0,0
E1,28/08/2021,Luton,Sheffield United,0,0,D,0,0,D,2.93,3.26,2.59,0-0,0-0,9,1,8,1,1,1,0,0
E1,28/08/2021,Middlesbrough,Blackburn,1,1,D,1,1,D,2.2,3.26,3.68,1-1,1-1,12,5,6,1,1,2,1,1
E1,28/08/2021,Millwall,Blackpool,2,1,H,0,0,D,1.87,3.55,4.58,0-0,2-1,18,7,10,3,4,3,0,1
E1,28/08/2021,Preston,Swansea,3,1,H,2,1,H,2.29,3.37,3.34,2-1,3-1,11,6,5,2,4,1,0,0
E1,28/08/2021,QPR,Coventry,2,0,H,0,0,D,2.3,3.33,3.34,0-0,2-0,13,5,15,4,1,1,0,0
E1,28/08/2021,Peterboro,West Brom,0,1,A,0,0,D,5.22,3.69,1.74,0-0,0-1,5,1,19,3,2,4,0,0
E1,10/09/2021,Birmingham,Derby,2,0,H,1,0,H,1.91,3.27,4.99,1-0,2-0,13,4,7,2,2,3,0,0
E1,11/09/2021,Blackburn,Luton,2,2,D,2,0,H,2.23,3.37,3.53,2-0,2-2,11,5,10,4,4,5,0,0
E1,11/09/2021,Blackpool,Fulham,1,0,H,0,0,D,6.02,4.14,1.6,0-0,1-0,8,1,17,4,3,2,0,0
E1,11/09/2021,Bournemouth,Barnsley,3,0,H,1,0,H,1.93,3.51,4.35,1-0,3-0,14,8,2,0,3,3,0,0
E1,11/09/2021,Bristol City,Preston,0,0,D,0,0,D,2.38,3.25,3.28,0-0,0-0,10,3,10,2,0,1,0,0
E1,11/09/2021,Coventry,Middlesbrough,2,0,H,0,0,D,2.36,3.26,3.37,0-0,2-0,12,6,8,5,1,3,0,0
E1,11/09/2021,Reading,QPR,3,3,D,1,1,D,3.04,3.51,2.42,1-1,3-3,12,4,22,4,2,1,0,0
E1,11/09/2021,Sheffield United,Peterboro,6,2,H,1,1,D,1.65,3.96,5.8,1-1,6-2,24,9,7,5,0,2,0,0
E1,11/09/2021,Stoke,Huddersfield,2,1,H,0,0,D,1.79,3.57,5.25,0-0,2-1,6,2,15,4,2,3,0,0
E1,11/09/2021,Swansea,Hull,0,0,D,0,0,D,2.16,3.5,3.57,0-0,0-0,16,4,4,1,1,2,0,0
E1,11/09/2021,West Brom,Millwall,1,1,D,0,0,D,1.57,4.09,6.44,0-0,1-1,11,2,13,4,1,3,0,0
E1,12/09/2021,Nottm Forest,Cardiff,1,2,A,1,0,H,3.02,3.11,2.63,1-0,1-2,15,4,22,5,0,3,0,0
E1,14/09/2021,Blackburn,Hull,2,0,H,0,0,D,1.79,3.55,5.28,0-0,2-0,18,6,16,4,1,2,0,0
E1,14/09/2021,Blackpool,Huddersfield,0,3,A,0,0,D,2.65,3.28,2.9,0-0,0-3,16,3,13,6,0,1,0,0
E1,14/09/2021,Bournemouth,QPR,2,1,H,2,0,H,1.94,3.66,4.13,2-0,2-1,10,4,15,6,5,3,0,0
E1,14/09/2021,Sheffield United,Preston,2,2,D,1,1,D,1.89,3.37,4.9,1-1,2-2,13,6,9,4,2,1,0,0
E1,14/09/2021,Reading,Peterboro,3,1,H,0,0,D,2.39,3.55,3.05,0-0,3-1,12,6,6,3,0,1,0,0
E1,14/09/2021,West Brom,Derby,0,0,D,0,0,D,1.55,4.15,6.85,0-0,0-0,25,9,4,0,1,1,0,0
E1,15/09/2021,Birmingham,Fulham,1,4,A,0,2,A,4.12,3.17,2.13,0-2,1-4,18,7,15,10,2,1,0,0
E1,15/09/2021,Bristol City,Luton,1,1,D,0,0,D,2.57,3.16,3.1,0-0,1-1,13,2,19,4,1,2,0,0
E1,15/09/2021,Coventry,Cardiff,1,0,H,1,0,H,2.33,3.18,3.51,1-0,1-0,11,4,10,1,2,1,1,0
E1,15/09/2021,Nottm Forest,Middlesbrough,0,2,A,0,1,A,3.08,2.97,2.73,0-1,0-2,15,3,13,6,1,5,0,0
E1,15/09/2021,Stoke,Barnsley,1,1,D,1,1,D,1.81,3.55,5.11,1-1,1-1,12,7,9,4,1,5,1,0
E1,15/09/2021,Swansea,Millwall,0,0,D,0,0,D,2.74,3.1,2.95,0-0,0-0,12,4,10,4,2,3,0,0
E1,18/09/2021,Hull,Sheffield United,1,3,A,0,1,A,3.42,3.24,2.34,0-1,1-3,10,5,15,8,3,2,0,0
E1,18/09/2021,Barnsley,Blackburn,0,0,D,0,0,D,2.89,3.14,2.76,0-0,0-0,13,4,3,2,0,1,0,0
E1,18/09/2021,Cardiff,Bournemouth,0,1,A,0,0,D,2.95,3.34,2.57,0-0,0-1,6,2,16,5,3,3,0,0
E1,18/09/2021,Derby,Stoke,2,1,H,2,0,H,3.25,3.19,2.46,2-0,2-1,14,5,13,5,2,3,0,0
E1,18/09/2021,Fulham,Reading,1,2,A,0,1,A,1.38,5.15,8.94,0-1,1-2,25,5,8,4,4,3,0,0
E1,18/09/2021,Huddersfield,Nottm Forest,0,2,A,0,1,A,2.09,3.38,3.94,0-1,0-2,10,2,8,4,2,1,0,0
E1,18/09/2021,Luton,Swansea,3,3,D,3,0,H,2.12,3.4,3.81,3-0,3-3,16,5,15,3,2,1,0,0
E1,18/09/2021,Middlesbrough,Blackpool,1,2,A,1,0,H,1.85,3.5,4.92,1-0,1-2,9,5,11,1,2,1,0,0
E1,18/09/2021,Millwall,Coventry,1,1,D,1,1,D,2.59,3.12,3.11,1-1,1-1,17,4,15,3,2,0,0,0
E1,18/09/2021,Peterboro,Birmingham,3,0,H,2,0,H,3.47,3.35,2.27,2-0,3-0,9,2,13,2,2,2,0,1
E1,18/09/2021,Preston,West Brom,1,1,D,1,1,D,3.81,3.61,2.04,1-1,1-1,8,2,12,3,1,1,0,0
E1,18/09/2021,QPR,Bristol City,1,2,A,0,1,A,1.84,3.89,4.35,0-1,1-2,26,11,9,3,4,1,0,0
E1,24/09/2021,Coventry,Peterboro,3,0,H,0,0,D,1.66,4.02,5.57,0-0,3-0,16,7,8,2,0,1,0,0
E1,24/09/2021,West Brom,QPR,2,1,H,0,1,A,1.69,4.02,5.2,0-1,2-1,18,7,5,4,1,1,0,0
E1,25/09/2021,Reading,Middlesbrough,1,0,H,0,0,D,3.05,3.26,2.55,0-0,1-0,13,5,10,2,3,3,0,1
E1,25/09/2021,Birmingham,Preston,0,0,D,0,0,D,2.12,3.27,4,0-0,0-0,6,2,9,2,1,3,0,0
E1,25/09/2021,Blackburn,Cardiff,5,1,H,3,0,H,2.36,3.38,3.24,3-0,5-1,17,10,11,5,0,2,0,0
E1,25/09/2021,Blackpool,Barnsley,1,0,H,1,0,H,2.53,3.3,3.05,1-0,1-0,13,6,13,4,1,3,0,0
E1,25/09/2021,Bournemouth,Luton,2,1,H,2,0,H,1.67,4.08,5.38,2-0,2-1,6,2,10,3,2,0,0,0
E1,25/09/2021,Bristol City,Fulham,1,1,D,0,0,D,5.18,3.69,1.76,0-0,1-1,14,5,22,5,1,3,0,0
E1,25/09/2021,Nottm Forest,Millwall,1,1,D,0,1,A,2.52,3.11,3.24,0-1,1-1,10,3,12,2,2,3,0,0
E1,25/09/2021,Sheffield United,Derby,1,0,H,0,0,D,1.65,3.73,6.43,0-0,1-0,17,2,9,4,1,1,0,1
E1,25/09/2021,Stoke,Hull,2,0,H,1,0,H,1.62,3.86,6.51,1-0,2-0,10,5,12,4,2,0,0,0
E1,25/09/2021,Swansea,Huddersfield,1,0,H,1,0,H,2.65,3.16,3,1-0,1-0,7,6,5,0,2,2,0,0
E1,28/09/2021,Cardiff,West Brom,0,4,A,0,1,A,4.37,3.59,1.92,0-1,0-4,6,0,11,6,1,1,0,0
E1,28/09/2021,Huddersfield,Blackburn,3,2,H,1,0,H,2.63,3.34,2.87,1-0,3-2,13,8,13,3,2,0,0,0
E1,28/09/2021,Hull,Blackpool,1,1,D,0,1,A,2.35,3.2,3.45,0-1,1-1,15,3,10,3,1,2,1,0
E1,28/09/2021,Middlesbrough,Sheffield United,2,0,H,2,0,H,3.08,3.05,2.67,2-0,2-0,9,4,13,4,4,2,0,0
E1,28/09/2021,Preston,Stoke,1,1,D,1,1,D,2.79,3.11,2.88,1-1,1-1,9,2,21,5,2,4,0,0
E1,28/09/2021,QPR,Birmingham,2,0,H,1,0,H,2.01,3.55,4,1-0,2-0,12,5,13,0,1,1,0,0
E1,29/09/2021,Barnsley,Nottm Forest,1,3,A,1,0,H,2.54,2.96,3.38,1-0,1-3,8,3,12,7,1,0,0,0
E1,29/09/2021,Derby,Reading,1,0,H,1,0,H,2.32,3.25,3.46,1-0,1-0,14,5,16,7,4,0,0,0
E1,29/09/2021,Fulham,Swansea,3,1,H,3,1,H,1.43,4.77,8.24,3-1,3-1,10,7,7,1,0,1,0,0
E1,29/09/2021,Luton,Coventry,5,0,H,4,0,H,2.76,3.23,2.81,4-0,5-0,21,9,6,1,0,2,0,0
E1,29/09/2021,Millwall,Bristol City,1,0,H,0,0,D,2.11,3.2,4.12,0-0,1-0,12,4,11,1,1,2,0,0
E1,29/09/2021,Peterboro,Bournemouth,0,0,D,0,0,D,5.17,3.76,1.75,0-0,0-0,4,1,11,3,1,0,0,0
